,Match Number,City,Stadium,Home Team,Away Team,Batting-Friendly Index,Bowling-Friendly Index,Batting-Friendly Index(matchwise),Bowling-Friendly Index(matchwise),RPO_zscore,RPW_zscore,RPO,RPW
0,1,Kolkata,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bengaluru,1.156499131,1.317777427,0.219909515,0.008796043,-0.6356906908979278,-0.6502374971271553,7.67,22.73
1,2,Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Rajasthan Royals,-0.636501251,-0.565918265,-1.83606026,-1.449415813,0.8870860383099499,0.3778906073715647,8.87,27.96
2,3,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,-0.840897704,-0.861788427,-2.162777101,-1.773301974,0.5571510803149098,0.9990922919252846,8.61,31.12
3,4,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Capitals,Lucknow Super Giants,0.4409505002698413,0.484069690111111,-0.5293160664920636,-0.5856462877301587,-1.600115952729584,-1.3284481970354889,6.91,19.28
4,5,Ahmedabad,Narendra Modi Stadium,Gujarat Titans,Punjab Kings,0.963742079,0.911975237,-0.063561725,-0.319073355,0.2652855405500681,-0.115532249663194,8.38,25.45
5,6,Guwahati,Barsapara Cricket Stadium,Rajasthan Royals,Kolkata Knight Riders,0.4409505002698413,0.484069690111111,-0.5293160664920636,-0.5856462877301587,-1.600115952729584,-1.3284481970354889,6.91,19.28
6,7,Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Lucknow Super Giants,-0.636501251,-0.565918265,-1.83606026,-1.449415813,0.8870860383099499,0.3778906073715647,8.87,27.96
7,8,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Royal Challengers Bengaluru,-0.840897704,-0.861788427,-2.162777101,-1.773301974,0.5571510803149098,0.9990922919252846,8.61,31.12
8,9,Ahmedabad,Narendra Modi Stadium,Gujarat Titans,Mumbai Indians,0.963742079,0.911975237,-0.063561725,-0.319073355,0.2652855405500681,-0.115532249663194,8.38,25.45
9,10,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Capitals,Sunrisers Hyderabad,0.4409505002698413,0.484069690111111,-0.5293160664920636,-0.5856462877301587,-1.600115952729584,-1.3284481970354889,6.91,19.28
